"","Character","Gender","speaking_turns","Total_Words","radius","diameter","role"
"1","Action Gnus 5 Beaver","male",1,10,3.16227766016838,6.32455532033676,"supporting"
"2","Announcer","male",1,3,1.73205080756888,3.46410161513775,"supporting"
"3","Beaver reporter 2","male",3,18,4.24264068711928,8.48528137423857,"supporting"
"4","Benjamin Clawhauser","male",25,312,17.6635217326557,35.3270434653114,"supporting"
"5","Bonnie Hopps","female",35,255,15.9687194226713,31.9374388453426,"supporting"
"6","Bucky Oryx-Antlerson","male",4,25,5,10,"supporting"
"7","Chief Bogo","male",48,547,23.388031127053,46.776062254106,"supporting"
"8","Cotton","female",1,7,2.64575131106459,5.29150262212918,"supporting"
"9","Dawn Bellwether","female",38,532,23.0651251893416,46.1302503786832,"supporting"
"10","Dharma Armadillo","female",1,20,4.47213595499958,8.94427190999916,"supporting"
"11","Doug","male",6,90,9.48683298050514,18.9736659610103,"supporting"
"12","Dr. Madge Honey Badger","female",5,51,7.14142842854285,14.2828568570857,"supporting"
"13","Duke Weaselton","male",11,158,12.5698050899765,25.1396101799531,"supporting"
"14","Elephant Lady","female",1,5,2.23606797749979,4.47213595499958,"supporting"
"15","Fabienne Growley","female",3,83,9.1104335791443,18.2208671582886,"supporting"
"16","Female Leopard","female",1,4,2,4,"supporting"
"17","Female offscreen reporter 1","female",1,6,2.44948974278318,4.89897948556636,"supporting"
"18","Female offscreen reporter 2","female",1,5,2.23606797749979,4.47213595499958,"supporting"
"19","Female offscreen reporter 3","female",1,8,2.82842712474619,5.65685424949238,"supporting"
"20","Finnick","male",3,37,6.08276253029822,12.1655250605964,"supporting"
"21","Flash Slothmore","male",28,61,7.81024967590665,15.6204993518133,"supporting"
"22","Frantic Pig","male",3,33,5.74456264653803,11.4891252930761,"supporting"
"23","Fru Fru","female",7,53,7.28010988928052,14.560219778561,"supporting"
"24","Gareth","male",2,6,2.44948974278318,4.89897948556636,"supporting"
"25","Gary","male",1,4,2,4,"supporting"
"26","Gazelle","female",10,129,11.3578166916005,22.7156333832011,"supporting"
"27","Gideon Grey","male",13,223,14.9331845230681,29.8663690461362,"supporting"
"28","Hippo Girl","female",1,8,2.82842712474619,5.65685424949238,"supporting"
"29","Hopps sibling","unknown",1,2,1.4142135623731,2.82842712474619,"supporting"
"30","Jaguar","male",1,21,4.58257569495584,9.16515138991168,"supporting"
"31","Jerry Jumbeaux Jr.","male",6,87,9.32737905308882,18.6547581061776,"supporting"
"32","Jesse","male",2,17,4.12310562561766,8.24621125123532,"supporting"
"33","Judy Hopps","female",303,3114,55.8032257132148,111.60645142643,"lead"
"34","Junior Ranger Scout 2","male",1,4,2,4,"supporting"
"35","Larry","male",1,8,2.82842712474619,5.65685424949238,"supporting"
"36","Leodore Lionheart","male",17,230,15.1657508881031,30.3315017762062,"supporting"
"37","Major Friedkin","female",7,79,8.88819441731559,17.7763888346312,"supporting"
"38","Male offscreen reporter 1","male",1,6,2.44948974278318,4.89897948556636,"supporting"
"39","Male offscreen reporter 3","male",1,7,2.64575131106459,5.29150262212918,"supporting"
"40","Moose","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"41","Mother rabbit","female",1,3,1.73205080756888,3.46410161513775,"supporting"
"42","Mouse","female",1,6,2.44948974278318,4.89897948556636,"supporting"
"43","Mouse Foreman","male",1,4,2,4,"supporting"
"44","Mr. Big","male",14,257,16.0312195418814,32.0624390837628,"supporting"
"45","Mrs. Otterton","female",8,84,9.16515138991168,18.3303027798234,"supporting"
"46","Muzzled Wolf","male",1,7,2.64575131106459,5.29150262212918,"supporting"
"47","Nangi","female",5,11,3.3166247903554,6.6332495807108,"supporting"
"48","Nick Wilde","male",155,2303,47.9895822028073,95.9791644056146,"lead"
"49","Officer Francine","female",1,3,1.73205080756888,3.46410161513775,"supporting"
"50","Officer Higgins","male",1,1,1,2,"supporting"
"51","Officer McHorn","male",2,16,4,8,"supporting"
"52","Offscreen character","male",1,8,2.82842712474619,5.65685424949238,"supporting"
"53","Offscreen officer","male",1,1,1,2,"supporting"
"54","Oryx reporter","female",1,9,3,6,"supporting"
"55","Peter Moosebridge","male",2,32,5.65685424949238,11.3137084989848,"supporting"
"56","Pig reporter","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"57","Priscilla Tripletoe","female",1,2,1.4142135623731,2.82842712474619,"supporting"
"58","Pronk Oryx-Antlerson","male",5,26,5.09901951359278,10.1980390271856,"supporting"
"59","Rabbit reporter","female",1,7,2.64575131106459,5.29150262212918,"supporting"
"60","Rabbit Reporter","unknown",1,6,2.44948974278318,4.89897948556636,"supporting"
"61","Renato Manchas","male",4,39,6.2449979983984,12.4899959967968,"supporting"
"62","Sharla","female",5,40,6.32455532033676,12.6491106406735,"supporting"
"63","Stu Hopps","male",43,427,20.6639783197718,41.3279566395437,"supporting"
"64","Travis","male",2,16,4,8,"supporting"
"65","Woodchuck Boy","male",5,38,6.16441400296898,12.328828005938,"supporting"
"66","Woolter","male",3,14,3.74165738677394,7.48331477354788,"supporting"
"67","Yax","male",14,223,14.9331845230681,29.8663690461362,"supporting"
