"","Character","Gender","speaking_turns","Total_Words","radius","diameter","role"
"1","Admiral Olsen","male",2,17,4.12310562561766,8.24621125123532,"supporting"
"2","Ames","male",1,8,2.82842712474619,5.65685424949238,"supporting"
"3","Angelo","male",6,47,6.85565460040104,13.7113092008021,"supporting"
"4","Batman","male",6,54,7.34846922834953,14.6969384566991,"supporting"
"5","Bodyguard","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"6","Bodyguard 2","female",1,2,1.4142135623731,2.82842712474619,"supporting"
"7","Bride","female",1,8,2.82842712474619,5.65685424949238,"supporting"
"8","Businessman","male",1,11,3.3166247903554,6.6332495807108,"supporting"
"9","Captain Boomerang","male",30,326,18.0554700852678,36.1109401705356,"lead"
"10","Casino Boss","male",1,23,4.79583152331272,9.59166304662544,"supporting"
"11","Dexter Tolliver","male",15,241,15.52417469626,31.04834939252,"supporting"
"12","Diablo","male",31,374,19.3390796058137,38.6781592116274,"lead"
"13","Diablo's Wife","female",4,29,5.3851648071345,10.770329614269,"supporting"
"14","Dispatcher","female",1,6,2.44948974278318,4.89897948556636,"supporting"
"15","Enchantress","female",23,265,16.2788205960997,32.5576411921994,"lead"
"16","Female Assistant","female",3,23,4.79583152331272,9.59166304662544,"supporting"
"17","Flag","male",118,1218,34.8998567332303,69.7997134664606,"lead"
"18","Flash","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"19","Floyd","male",127,1432,37.841775856849,75.683551713698,"lead"
"20","General","male",7,60,7.74596669241483,15.4919333848297,"supporting"
"21","General 2","male",1,9,3,6,"supporting"
"22","Griggs","male",36,500,22.3606797749979,44.7213595499958,"lead"
"23","Guard 2","male",2,18,4.24264068711928,8.48528137423857,"supporting"
"24","Guard 3","male",1,7,2.64575131106459,5.29150262212918,"supporting"
"25","Guard 4","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"26","Guard at Gate","male",1,12,3.46410161513775,6.92820323027551,"supporting"
"27","Harley","female",87,602,24.5356882927706,49.0713765855412,"lead"
"28","Incubus","male",6,23,4.79583152331272,9.59166304662544,"supporting"
"29","Joker","male",32,258,16.062378404209,32.124756808418,"lead"
"30","Jonny Frost","male",6,76,8.71779788708135,17.4355957741627,"supporting"
"31","June","female",12,83,9.1104335791443,18.2208671582886,"supporting"
"32","Katana","female",6,38,6.16441400296898,12.328828005938,"lead"
"33","Killer Croc","male",9,42,6.48074069840786,12.9614813968157,"lead"
"34","Mafia Guy","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"35","Male Dispatch","male",1,8,2.82842712474619,5.65685424949238,"supporting"
"36","Man in Flashback","male",2,7,2.64575131106459,5.29150262212918,"supporting"
"37","Medic's Wife","female",1,13,3.60555127546399,7.21110255092798,"supporting"
"38","Medical Officer","male",5,15,3.87298334620742,7.74596669241483,"supporting"
"39","Medical Officer 2","female",2,5,2.23606797749979,4.47213595499958,"supporting"
"40","Medical Officer 3","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"41","Military Extra","male",2,18,4.24264068711928,8.48528137423857,"supporting"
"42","Military on Radio","male",2,18,4.24264068711928,8.48528137423857,"supporting"
"43","Military Personnel","male",3,13,3.60555127546399,7.21110255092798,"supporting"
"44","Monster T","male",6,53,7.28010988928052,14.560219778561,"supporting"
"45","Nurse","female",2,12,3.46410161513775,6.92820323027551,"supporting"
"46","Physician","male",2,7,2.64575131106459,5.29150262212918,"supporting"
"47","Pilot","male",1,16,4,8,"supporting"
"48","Police Officer","male",1,19,4.35889894354067,8.71779788708135,"supporting"
"49","Police Officer 2","male",1,11,3.3166247903554,6.6332495807108,"supporting"
"50","SEAL","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"51","Seal 1","male",5,24,4.89897948556636,9.79795897113271,"supporting"
"52","Seal 2","male",1,7,2.64575131106459,5.29150262212918,"supporting"
"53","Seal 3","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"54","Seal 4","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"55","Seals","male",1,3,1.73205080756888,3.46410161513775,"supporting"
"56","Slipknot","male",4,12,3.46410161513775,6.92820323027551,"lead"
"57","Soldier on Radio","male",4,15,3.87298334620742,7.74596669241483,"supporting"
"58","Unknown Assistant","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"59","Unknown Man","male",1,13,3.60555127546399,7.21110255092798,"supporting"
"60","Unknown Men","male",1,9,3,6,"supporting"
"61","Unknown soldier","male",3,3,1.73205080756888,3.46410161513775,"supporting"
"62","Unknown Soldier","male",3,44,6.6332495807108,13.2664991614216,"supporting"
"63","Van Driver","male",2,30,5.47722557505166,10.9544511501033,"supporting"
"64","Waller","female",79,1210,34.7850542618522,69.5701085237043,"lead"
"65","Zoe","female",12,131,11.4455231422596,22.8910462845192,"supporting"
