"","Character","Gender","speaking_turns","Total_Words","radius","diameter","role"
"37","Knyazev's Man 2","male",1,2,1.4142135623731,2.82842712474619,"supporting"
"38","Kryptonian Ship","female",11,121,11,22,"supporting"
"39","Leblanc","female",1,11,3.3166247903554,6.6332495807108,"supporting"
"40","Lex Luthor","male",54,1480,38.4707681233427,76.9415362466854,"supporting"
"41","Lois Lane","female",48,397,19.9248588451713,39.8497176903426,"lead"
"42","Major Farris","female",1,1,1,2,"supporting"
"43","Man 3","male",2,8,2.82842712474619,5.65685424949238,"supporting"
"44","Man 4","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"45","Man in Car","male",1,4,2,4,"supporting"
"46","Man in Car 2","male",1,1,1,2,"supporting"
"47","Man on TV","male",1,11,3.3166247903554,6.6332495807108,"supporting"
"48","Martha Kent","female",3,79,8.88819441731559,17.7763888346312,"supporting"
"49","Mercy Graves","female",4,14,3.74165738677394,7.48331477354788,"supporting"
"50","Military 2","male",2,6,2.44948974278318,4.89897948556636,"supporting"
"51","Military 3","male",1,3,1.73205080756888,3.46410161513775,"supporting"
"52","Military Man","male",1,6,2.44948974278318,4.89897948556636,"supporting"
"53","Military Man 2","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"54","Military Personnel","female",4,20,4.47213595499958,8.94427190999916,"supporting"
"55","Mr. Wayne","male",2,2,1.4142135623731,2.82842712474619,"supporting"
"56","Nancy Grace","female",1,37,6.08276253029822,12.1655250605964,"supporting"
"57","Neil deGrasse Tyson","male",1,86,9.2736184954957,18.5472369909914,"supporting"
"58","Newscaster","male",1,80,8.94427190999916,17.8885438199983,"supporting"
"59","Officer","male",2,14,3.74165738677394,7.48331477354788,"supporting"
"60","Officer 2","male",2,22,4.69041575982343,9.38083151964686,"supporting"
"61","Officer 3","male",1,6,2.44948974278318,4.89897948556636,"supporting"
"62","Officer 4","male",1,6,2.44948974278318,4.89897948556636,"supporting"
"63","Officer Rucka","male",3,22,4.69041575982343,9.38083151964686,"supporting"
"64","Operator","male",1,15,3.87298334620742,7.74596669241483,"supporting"
"65","Perry White","male",21,259,16.0934769394311,32.1869538788622,"supporting"
"66","Photographer","male",2,8,2.82842712474619,5.65685424949238,"supporting"
"67","Pilot","male",1,4,2,4,"supporting"
"68","Player","male",1,3,1.73205080756888,3.46410161513775,"supporting"
"69","President","male",5,22,4.69041575982343,9.38083151964686,"supporting"
"70","Reporter 2","male",3,57,7.54983443527075,15.0996688705415,"supporting"
"71","Reporter 3","male",1,15,3.87298334620742,7.74596669241483,"supporting"
"72","Reporter 4","female",2,17,4.12310562561766,8.24621125123532,"supporting"
"73","Reporter 5","female",2,46,6.78232998312527,13.5646599662505,"supporting"
"74","Secretary Swanwick","male",18,175,13.228756555323,26.4575131106459,"supporting"
"75","Senator","male",5,31,5.56776436283002,11.13552872566,"supporting"
"76","Senator Finch","female",15,302,17.3781471969828,34.7562943939655,"supporting"
"77","Signals Officer","male",1,3,1.73205080756888,3.46410161513775,"supporting"
"78","Soledad O'Brien","female",2,72,8.48528137423857,16.9705627484771,"supporting"
"79","Vikram Gandhi","male",2,108,10.3923048454133,20.7846096908265,"supporting"
"80","Wallace","male",10,108,10.3923048454133,20.7846096908265,"supporting"
"81","Woman","male",1,5,2.23606797749979,4.47213595499958,"supporting"
"82","Woman 2","male",1,5,2.23606797749979,4.47213595499958,"supporting"
